,Message,Category
0,on fri sep NUMBER NUMBER at NUMBER NUMBER NUMBERam NUMBER bugzilla daemon URL wrote another or would look terrible let s just use a letter if aesthetics are your concern i think an x will look just fine x is fine but let s not take out the config option if people really want to have it be something else we shouldn t hinder them randomly generated tagline and the next time you consider complaining that running lucid emacs NUMBER NUMBER via nfs from a remote linux machine in paraguay doesn t seem to get the background colors right you ll know who to thank by matt welsh ,0
1,have you thought of bumping up sylpheed claws i see sylpheed got a bump show some claws love jesse keating URL mondo devteam www mondorescue org was i helpful let others know URL _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
2,title page has a login screen and i can t seem to get the apt indexes anymore is it just me or is something going on there additive eNUMBER not suitable for vegetarians URL ,0
3,url URL date not supplied img URL wonderful gallery of historical advertising and postcard photos of times square at lileks s site stefan urges us to have some mercy on his bandwidth budget and consider using the tip jar link NUMBER discuss NUMBER _thanks stefan _ NUMBER URL NUMBER URL ,0
4, URL spamassassin contrib URL changed what removed added cc spamassassin devel URL assignedto spamassassin spamassassin devel URL contrib URL additional comments from spamassassin contrib URL NUMBER NUMBER NUMBER NUMBER NUMBER i m gonna fix this one i think the best solution will be to copy the modified rules to blib and install them from there then the rules files will be changed on build time and not install time too you are receiving this mail because you are the assignee for the bug or are watching the assignee you are on the cc list for the bug or are watching someone who is this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin devel mailing list spamassassin devel URL URL ,0
5,i m sure patton used it i m all for using it in the coming war with iraq yet i d be queasy about doing it in the philippines circa NUMBER which was his point original message from fork admin URL mailto fork admin URL on behalf of r a hettinga sent monday september NUMBER NUMBER NUMBER NUMBER pm to digital bearer settlement list fork URL subject nettime the war prayer begin forwarded text status ro date mon NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER to nettime l URL from phil duncan pduncan aggregatestudio com subject nettime the war prayer sender nettime l request URL reply to phil duncan pduncan aggregatestudio com the following prayer is from a story by mark twain and was quoted by lewis laphan in the october issue of harper s magazine it occurs at the very end of an excellent article which i recommend to you in the story an old man enters a church where the congregation has been listening to an heroic sermon about the glory to be won in battle by young patriots armed with the love of god he usurps the pulpit and prays the following o lord our god help us to tear their soldiers to bloody shreads with our shells help us to cover their smiling fields with the pale forms of their patriot dead help us to drown the thunder of the guns with the shrieks of their wounded writhing in pain help us to lay waste their humble homes with a hurricane of fire help us to wring the hearts of their unoffending widows with unavailing grief help us to turn them out roofless with their little children to wander unfriended the wastes of their desolated land in rags and hunger and thirst sports of the sun flames in summer and the icy winds of winter broken in spirit worn with travail imploring thee for the refuge of the grave and denied it for our sakes who adore thee lord blast their hopes blight their lives protract their bitter pilgrimage make heavy their steps water their way with their tears stain the white snow with the blood of their wounded feet we ask it in the spirit of love of him who is the source of love and who is the ever faithful refuge and friend of all that are sore beset and seek his aid with humble and contrite hearts amen twain wrote the story the war prayer in NUMBER during the american occupation of the philippines but the story wasn t printed until NUMBER thirteen years after his death because the editors thought it unsuitable for publication at the time it was written distributed via nettime no commercial use without permission nettime is a moderated mailing list for net criticism collaborative text filtering and cultural politics of the nets more info majordomo URL and info nettime l in the msg body archive URL contact nettime URL end forwarded text r a hettinga mailto rah ibuc com the internet bearer underwriting corporation URL NUMBER farquhar street boston ma NUMBER usa however it may deserve respect for its usefulness and antiquity predicting the end of the world has not been found agreeable to experience edward gibbon decline and fall of the roman empire ,0
6,on tue NUMBER sep NUMBER rose bobby wrote use the sample spam txt from spamassassin and do a razor check d sample spam txt interesting i just upgraded to razor agents NUMBER NUMBER yesterday ran razor admin register i to am seeing that i m not getting any positives from razor including the sample spam txt s from spamassassin NUMBER NUMBER NUMBER NUMBER and NUMBER NUMBER any suggestions thanks d output below maxwell var qmail alias gb users razor check d usr local src mail spamassassin NUMBER NUMBER sample spam txt razor log computed razorhome from env root razor razor log found razorhome root razor razor log no root razor razor agent conf found skipping razor log no razor agent conf found using defaults sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER bootup logging initiated logdebuglevel NUMBER to stdout sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER computed razorhome root razor conf ident root razor identity ruqvaNUMBERjbus sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER razor agents vNUMBER NUMBER starting razor check d sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER uname a freebsd URL NUMBER NUMBER release pNUMBER freebsd NUMBER NUMBER release pNUMBER NUMBER wed may NUMBER NUMBER NUMBER NUMBER edt NUMBER root URL iNUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER reading straight rfcNUMBER mail from stdin sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read NUMBER mail sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER client supported_engines NUMBER NUMBER NUMBER NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER prep_mail done mail NUMBER headers NUMBER mimeNUMBER NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER skipping whitelist file empty root razor razor whitelist sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read_file NUMBER items read from root razor servers discovery lst sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read_file NUMBER items read from root razor servers nomination lst sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read_file NUMBER items read from root razor servers catalogue lst sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER assigning defaults to URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER assigning defaults to URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER assigning defaults to URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER assigning defaults to URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read_file NUMBER items read from root razor server URL conf sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER read_file NUMBER items read from root razor server URL conf sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER NUMBER seconds before closest server discovery sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL is a catalogue server srl NUMBER computed min_cf NUMBER server se NUMBERa sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER computed supported_engines NUMBER NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER using next closest server URL NUMBER cached info srl NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER subject home based business for grownups sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER preproc mail NUMBER NUMBER went from NUMBER bytes to NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER computing sigs for mail NUMBER NUMBER len NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER connecting to URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER connection established sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL NUMBER server greeting sn c srl NUMBER epNUMBER NUMBER NUMBER a l sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL is a catalogue server srl NUMBER computed min_cf NUMBER server se NUMBERa sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER computed supported_engines NUMBER NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER NUMBER eNUMBER sig pgfffteNUMBERpNUMBERve cptduNUMBERnwgibika sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER NUMBER eNUMBER sig kNUMBERogzsaNUMBERavvolyvalwxNUMBERaacdwbNUMBERa sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER preparing NUMBER queries sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER sending NUMBER batches sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER a c e NUMBER s pgfffteNUMBERpNUMBERve cptduNUMBERnwgibika a c e NUMBER epNUMBER NUMBER NUMBER s kNUMBERogzsaNUMBERavvolyvalwxNUMBERaacdwbNUMBERa sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER response to sent NUMBER p NUMBER p NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER NUMBER e NUMBER sig pgfffteNUMBERpNUMBERve cptduNUMBERnwgibika sig not found sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER NUMBER e NUMBER sig kNUMBERogzsaNUMBERavvolyvalwxNUMBERaacdwbNUMBERa sig not found sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER method NUMBER mail NUMBER NUMBER no contention part spam NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER method NUMBER mail NUMBER a non contention part not spam mail not spam sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER mail NUMBER is not known spam sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER disconnecting from server URL sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER URL NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER a q sep NUMBER NUMBER NUMBER NUMBER NUMBER check NUMBER NUMBER razor check finished successfully david raistrick drais URL URL this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ razor users mailing list razor users URL URL ,0
7,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER it s confirmed dora and i will be walking down the aisle to the sounds of the triangle tuba quartet NUMBER that is just too cool for words NUMBER URL ,0
8,on sun NUMBER sep NUMBER gordon mohr wrote ok then consider a population of NUMBER NUMBER NUMBER NUMBER NUMBER men each pair off with NUMBER NUMBER women then NUMBER man let s call him wilt also has sex with the other NUMBER NUMBER women it is not uncommon to find gay males who had sex with several thousands partners there would be more in fact lots more probably but a lot of them have died don t have to be a callboy if considering that you can have intercourse with several partners in a single day in a bathouse it doesn t look particularly difficult to do clearly this is not something what hets do prostitution not taken into account ,0
9, richie as i understand it post NUMBER NUMBERx versions of the core bsddb code richie ship under the sleepycat license which demands that projects richie using it must be published source don t use bsddb in a closed source product use dbm or dumdbm or use pickles or roll your own thang i doubt the presence of bsddb would be the only barrier to creating a closed source product based upon the spambayes code skip _______________________________________________ spambayes mailing list spambayes URL URL ,0
